,CA,TX,MT,OH,KS
2017-05-21,2881.0,,341.0,395.0,909.0
2017-05-19,3617.0,753.0,341.0,501.0,785.0
2017-05-18,2362.0,720.0,300.0,472.0,735.0
2017-05-17,1773.0,633.0,314.0,459.0,758.0
2017-05-16,1745.0,564.0,300.0,492.0,631.0
2017-05-15,2299.0,,298.0,539.0,839.0
2017-05-14,2612.0,628.0,306.0,544.0,816.0
2017-05-13,2367.0,610.0,286.0,637.0,756.0
2017-05-12,2713.0,761.0,335.0,550.0,924.0
2017-05-09,1516.0,602.0,260.0,461.0,541.0
2017-05-10,1639.0,689.0,270.0,504.0,634.0
2017-05-11,2096.0,710.0,281.0,516.0,788.0
2017-05-02,1565.0,567.0,252.0,438.0,543.0
2017-05-01,2043.0,619.0,284.0,428.0,1268.0
2017-05-03,1557.0,616.0,298.0,448.0,508.0
2017-05-08,1809.0,582.0,282.0,459.0,602.0
2017-05-07,2517.0,610.0,280.0,421.0,679.0
2017-05-06,2141.0,575.0,233.0,584.0,640.0
2017-05-04,1849.0,636.0,303.0,452.0,583.0
2017-05-05,2603.0,675.0,315.0,426.0,654.0
2017-06-08,2275.0,694.0,339.0,650.0,982.0
2017-06-07,1791.0,749.0,332.0,554.0,773.0
2017-06-06,1769.0,646.0,314.0,517.0,752.0
2017-06-05,2272.0,,302.0,553.0,830.0
2017-06-04,2707.0,650.0,353.0,440.0,988.0
2017-06-03,2424.0,608.0,321.0,562.0,950.0
2017-06-01,2140.0,663.0,318.0,547.0,950.0
2017-06-02,2795.0,722.0,391.0,592.0,1000.0
2017-06-15,2989.0,767.0,349.0,488.0,892.0
2017-06-14,2360.0,793.0,332.0,516.0,827.0
2017-06-13,2057.0,670.0,351.0,507.0,766.0
2017-06-12,2488.0,698.0,334.0,484.0,745.0
2017-06-09,2901.0,880.0,367.0,522.0,1079.0
2017-06-11,2983.0,865.0,426.0,441.0,1083.0
2017-06-10,2900.0,793.0,358.0,540.0,994.0
2017-06-28,2084.0,755.0,355.0,546.0,933.0
2017-06-27,2072.0,674.0,347.0,477.0,805.0
2017-06-29,2438.0,806.0,418.0,520.0,1044.0
